Model;Idx;Metrics
D1;0;[('Precision', 0.1868784951156791), ('Recall', 0.3472831611908704), ('F-measure', 0.2405516762209464), ('Average_Overlap_Ratio', 0.7640963997950007), ('Precision_no_offset', 0.37147086468581186), ('Recall_no_offset', 0.7089465797092079), ('F-measure_no_offset', 0.48249443597215436), ('Average_Overlap_Ratio_no_offset', 0.5294593833153659), ('Onset_Precision', 0.4530210449223427), ('Onset_Recall', 0.8640718517601738), ('Onset_F-measure', 0.5882183595672228), ('Offset_Precision', 0.4459805157364855), ('Offset_Recall', 0.8586371916422083), ('Offset_F-measure', 0.5807678656332527)]
D1;1;[('Precision', 0.19950605064648483), ('Recall', 0.35397549165780884), ('F-measure', 0.25239126902661296), ('Average_Overlap_Ratio', 0.7633743574825138), ('Precision_no_offset', 0.38699348014086915), ('Recall_no_offset', 0.7082948126812697), ('F-measure_no_offset', 0.4948357539156628), ('Average_Overlap_Ratio_no_offset', 0.535842716566799), ('Onset_Precision', 0.4674092317684123), ('Onset_Recall', 0.8556974372988452), ('Onset_F-measure', 0.5976196438607979), ('Offset_Precision', 0.4583819864990639), ('Offset_Recall', 0.8478682984389668), ('Offset_F-measure', 0.5879758308113128)]
D1;2;[('Precision', 0.1892072308190172), ('Recall', 0.3538313332735767), ('F-measure', 0.24401993744729944), ('Average_Overlap_Ratio', 0.7644484043253023), ('Precision_no_offset', 0.3707833525918684), ('Recall_no_offset', 0.716740668520993), ('F-measure_no_offset', 0.4835099000549378), ('Average_Overlap_Ratio_no_offset', 0.5235919747194606), ('Onset_Precision', 0.451838375843285), ('Onset_Recall', 0.8747825955616996), ('Onset_F-measure', 0.5894197354783558), ('Offset_Precision', 0.4424990196640154), ('Offset_Recall', 0.8643273357939169), ('Offset_F-measure', 0.5787622617734036)]
D1;3;[('Precision', 0.19419150241886818), ('Recall', 0.3553676696362403), ('F-measure', 0.24848522688417107), ('Average_Overlap_Ratio', 0.7642775996912334), ('Precision_no_offset', 0.37666677649638663), ('Recall_no_offset', 0.7099107416192411), ('F-measure_no_offset', 0.48686758737611446), ('Average_Overlap_Ratio_no_offset', 0.5360407227616252), ('Onset_Precision', 0.45808064450754465), ('Onset_Recall', 0.8636608570602369), ('Onset_F-measure', 0.5920819097731835), ('Offset_Precision', 0.45047279237469784), ('Offset_Recall', 0.8570993439275477), ('Offset_F-measure', 0.5838825522286446)]
D1;4;[('Precision', 0.1949048523172217), ('Recall', 0.36613863947226405), ('F-measure', 0.25182808435764525), ('Average_Overlap_Ratio', 0.7643130564721944), ('Precision_no_offset', 0.37411916843652954), ('Recall_no_offset', 0.7216530895745851), ('F-measure_no_offset', 0.48772127617877786), ('Average_Overlap_Ratio_no_offset', 0.532587024666546), ('Onset_Precision', 0.45317930209074275), ('Onset_Recall', 0.8751177449592377), ('Onset_F-measure', 0.590882362512699), ('Offset_Precision', 0.44542532425110337), ('Offset_Recall', 0.8677428363871934), ('Offset_F-measure', 0.5823475380402385)]
C1;0;[('Precision', 0.16377005264004346), ('Recall', 0.34429340357698285), ('F-measure', 0.21980892184630207), ('Average_Overlap_Ratio', 0.7638953033335423), ('Precision_no_offset', 0.32936974937654895), ('Recall_no_offset', 0.7112965172742601), ('F-measure_no_offset', 0.44587745576123783), ('Average_Overlap_Ratio_no_offset', 0.5193844322126588), ('Onset_Precision', 0.4107488068688713), ('Onset_Recall', 0.8864169485098525), ('Onset_F-measure', 0.5558393109793285), ('Offset_Precision', 0.40749768435131084), ('Offset_Recall', 0.8856875985958934), ('Offset_F-measure', 0.5525674227379973)]
C1;1;[('Precision', 0.15990752007830902), ('Recall', 0.34071075262541994), ('F-measure', 0.2157781547030737), ('Average_Overlap_Ratio', 0.762167861985052), ('Precision_no_offset', 0.3255120605524002), ('Recall_no_offset', 0.7109983578106622), ('F-measure_no_offset', 0.44274228934124304), ('Average_Overlap_Ratio_no_offset', 0.5120192587875025), ('Onset_Precision', 0.40677252617750387), ('Onset_Recall', 0.8868088441706393), ('Onset_F-measure', 0.5528570549056486), ('Offset_Precision', 0.40614382238879065), ('Offset_Recall', 0.8906304384531214), ('Offset_F-measure', 0.5529371255334286)]
C1;2;[('Precision', 0.16718008262133333), ('Recall', 0.3378096338019377), ('F-measure', 0.22162726715708309), ('Average_Overlap_Ratio', 0.7635384096504482), ('Precision_no_offset', 0.3371078913518916), ('Recall_no_offset', 0.6998707738055027), ('F-measure_no_offset', 0.450855932332645), ('Average_Overlap_Ratio_no_offset', 0.5226378701011458), ('Onset_Precision', 0.42290768819806535), ('Onset_Recall', 0.8782139090097558), ('Onset_F-measure', 0.5655638717377707), ('Offset_Precision', 0.41974977539320635), ('Offset_Recall', 0.8781005656175966), ('Offset_F-measure', 0.5625768253593816)]
C1;3;[('Precision', 0.1656617727446539), ('Recall', 0.3388712854957197), ('F-measure', 0.22055782758746031), ('Average_Overlap_Ratio', 0.763799950961808), ('Precision_no_offset', 0.33431621869824624), ('Recall_no_offset', 0.7026181210093729), ('F-measure_no_offset', 0.44906120753928114), ('Average_Overlap_Ratio_no_offset', 0.5223717603826201), ('Onset_Precision', 0.41958958049339434), ('Onset_Recall', 0.881287142477352), ('Onset_F-measure', 0.5634342588577091), ('Offset_Precision', 0.41685609268080154), ('Offset_Recall', 0.8809680927139216), ('Offset_F-measure', 0.5608072887922912)]
C1;4;[('Precision', 0.17378986813751482), ('Recall', 0.3432760444614648), ('F-measure', 0.22857427442380074), ('Average_Overlap_Ratio', 0.7658371227327748), ('Precision_no_offset', 0.34663947727634636), ('Recall_no_offset', 0.7046932474131749), ('F-measure_no_offset', 0.4603698934458566), ('Average_Overlap_Ratio_no_offset', 0.5279024231705522), ('Onset_Precision', 0.430926428776906), ('Onset_Recall', 0.8764528473381286), ('Onset_F-measure', 0.5723361317588777), ('Offset_Precision', 0.4264553472316141), ('Offset_Recall', 0.8727456925559396), ('Offset_F-measure', 0.5674837453818606)]
